price;Item number;Item name
500;103076;COMPRESSOR AND FITTINGS
50;00BEC10803;CAPACITOR 5MFD/370VAC
50;00BEC11102;CAPACITOR 25MFD/370VAC
50;00BEC11301;CAPACITOR 35MFD/370VAC
70;00BEC20502;CAPACITOR 40+5MFD/440VAC
200;00BEM10101A-E;FAN MOTOR 1/25HP 230V-50/60HZ
200;00BEM10602A-E;FAN MOTOR 1/8HP 230V-60HZ (F42E36B09XCN)(00BEM20702A-E)
200;00BEM10703-E;FAN MOTOR 1/6HP 230V-60HZ (00BEM10703)
200;00BEM10717;FAN MOTOR 1/6HP AL-SERIES 60HZ (5KCP39EGDD120S) (F48AB33B09)
200;00BEM11013B;FAN MOTOR 1/3HP AL-SERIES (6NIHCT 11019/INDIA)
200;00BEM20912;FAN MOTOR 1/6HP AL-SERIES
700;00BRC10718D;LG R/COMP.20K,60HZ-QJ282KBC/00BRC10718
1000;00BRC10734;BRISTOL COMPRESOR-43LRA-3LEG (H21J17UABCC-18K)
700;00BRC10740;COMPRESSOR 230V-1-60HZ(ROTARY)-18K PH246G2C-3MVS/00BRC41202
1000;00BRC10911;BRISTOL COMPRESSOR-73 LRA-3 LEG (H29B28UABCC)
800;00BRC10913D;LG R/COMP.24K,60HZ QP362KBB/00BRC10913
1000;00BRC10924;BRISTOL COMPRESOR-74LRA-3LEG (H20J303ABCC-24K)
1000;00BRC10926;COMPRESSOR 208/230V-1-60HZ REC (H82J18UABCC R410A)
600;00BRC10938;COMPRESSOR 230V 60HZ ROTARY (GMCC-24K ) PH300G2C-3MVS3
200;00BRR00102;"4 WAY REVERSING VALVE 3/4"""
100;00BRV03001;"SHUT OFF VALVE 1/2"""
50;00CDG00101;REFRIGERANT R-22
100;0131T06901;HEATER ELEMENT 3.0 KW 230V ZOP
200;0132E01402;LOUVER MOTOR 230-240V 7 RPM
50;0133E03201-E;ROTARY SWITCH COOL ECONOMY (0133E03201)
150;0133E03901A;THERMOSTAT (H/C & H/P) (0133E0901A-U)0133E03904
100;0133E04001B;SWITCH CARLING ROCKER (ORANGE)
